,current board1-firm name,current board1-firm type,current board1-title,current board1-location,current board1-industry,current board1-since,current board1-companylink,current board2-firm name,current board2-firm type,current board2-title,current board2-location,current board2-industry,current board2-since,current board2-companylink,current board3-firm name,current board3-firm type,current board3-title,current board3-location,current board3-industry,current board3-since,current board3-companylink,current board4-firm name,current board4-firm type,current board4-title,current board4-location,current board4-industry,current board4-since,current board4-companylink,current board5-firm name,current board5-firm type,current board5-title,current board5-location,current board5-industry,current board5-since,current board5-companylink,current board6-firm name,current board6-firm type,current board6-title,current board6-location,current board6-industry,current board6-since,current board6-companylink,current board7-firm name,current board7-firm type,current board7-title,current board7-location,current board7-industry,current board7-since,current board7-companylink,current board8-firm name,current board8-firm type,current board8-title,current board8-location,current board8-industry,current board8-since,current board8-companylink,current board9-firm name,current board9-firm type,current board9-title,current board9-location,current board9-industry,current board9-since,current board9-companylink,current board10-firm name,current board10-firm type,current board10-title,current board10-location,current board10-industry,current board10-since,current board10-companylink
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BlueWind Medical,COMPANY,,"Herzliya, Israel",Therapeutic Devices,2018/11/1,https://my.pitchbook.com/profile/58761-19/company/profile,Globus Medical,COMPANY,,"Audubon, PA",Surgical Devices,2011/1/1,https://my.pitchbook.com/profile/10577-26/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Apollo (Database Software),COMPANY,,"San Francisco, CA",Database Software,2015/1/1,https://my.pitchbook.com/profile/155953-72/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Vivace Therapeutics,COMPANY,,"San Mateo, CA",Drug Discovery,2015/1/1,https://my.pitchbook.com/profile/107318-89/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Burrow,COMPANY,,"New York, NY",Home Furnishings,2016/1/1,https://my.pitchbook.com/profile/163674-55/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Wellthy,COMPANY,,"New York, NY",Other Healthcare Services,2014/1/1,https://my.pitchbook.com/profile/111728-53/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Wellthy,COMPANY,,"New York, NY",Other Healthcare Services,2014/1/1,https://my.pitchbook.com/profile/111728-53/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CytomX Therapeutics,COMPANY,,"South San Francisco, CA",Biotechnology,2015/1/1,https://my.pitchbook.com/profile/51019-21/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Twistlock,COMPANY,,"Portland, OR",Network Management Software,2015/1/1,https://my.pitchbook.com/profile/112835-62/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Kettle & Fire,COMPANY,,"Austin, TX",Food Products,2014/10/27,https://my.pitchbook.com/profile/180640-99/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FanCompass,COMPANY,,"San Francisco, CA",Media and Information Services (B2B),2009/1/1,https://my.pitchbook.com/profile/63762-94/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Health Gorilla,COMPANY,,"Sunnyvale, CA",Medical Records Systems,,https://my.pitchbook.com/profile/66174-94/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Outfit (Business/Productivity Software),COMPANY,,"South Brisbane, Australia",Business/Productivity Software,,https://my.pitchbook.com/profile/143408-71/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Lumi (Media and Information Services (B2B)),COMPANY,,"Los Angeles, CA",Media and Information Services (B2B),2010/1/1,https://my.pitchbook.com/profile/110586-07/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Lumi (Media and Information Services (B2B)),COMPANY,,"Los Angeles, CA",Media and Information Services (B2B),2010/1/1,https://my.pitchbook.com/profile/110586-07/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CBRE Acquisition Holdings,COMPANY,,"Dallas, TX",Special Purpose Acquisition Company (SPAC),2020/1/1,https://my.pitchbook.com/profile/452718-28/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Industrious,COMPANY,,"New York, NY",Buildings and Property,2013/1/1,https://my.pitchbook.com/profile/101710-18/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Cambridge Semantics,COMPANY,,"Boston, MA",Business/Productivity Software,2007/1/1,https://my.pitchbook.com/profile/108445-96/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Autolist,COMPANY,,"San Francisco, CA",Automotive,2014/1/1,https://my.pitchbook.com/profile/107002-54/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Agora (Communication Software),COMPANY,,"Santa Clara, CA",Communication Software,2013/1/1,https://my.pitchbook.com/profile/111656-80/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ROKA,COMPANY,,"Austin, TX",Other Apparel,2011/1/1,https://my.pitchbook.com/profile/93488-59/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Hospi,COMPANY,,"Newark, CA",Therapeutic Devices,2012/1/1,https://my.pitchbook.com/profile/106959-52/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,xiQ,COMPANY,,"Redwood City, CA",Business/Productivity Software,2013/1/1,https://my.pitchbook.com/profile/182857-60/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Evo (Internet Retail),COMPANY,,"Seattle, WA",Internet Retail,2001/1/1,https://my.pitchbook.com/profile/91765-81/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,EverythingBenefits,COMPANY,,"New Providence, NJ",Business/Productivity Software,2014/1/1,https://my.pitchbook.com/profile/97868-98/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Tersus Solutions,COMPANY,,"Denver, CO",Other Commercial Services,2009/1/1,https://my.pitchbook.com/profile/85764-88/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Perthera,COMPANY,,"Holliston, MA",Biotechnology,2012/1/1,https://my.pitchbook.com/profile/62081-74/company/profile,Ceres Nano,COMPANY,,"Manassas, VA",Diagnostic Equipment,,https://my.pitchbook.com/profile/119075-50/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Factom,COMPANY,,"Austin, TX",Software Development Applications,2014/1/1,https://my.pitchbook.com/profile/113934-79/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Firefly Aerospace,COMPANY,,"Cedar Park, TX",Aerospace and Defense,2013/1/1,https://my.pitchbook.com/profile/104038-66/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,X-Bow Launch Systems,COMPANY,,"Albuquerque, NM",Aerospace and Defense,2016/8/1,https://my.pitchbook.com/profile/279564-76/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,CesiumAstro,COMPANY,,"Austin, TX",Wireless Communications Equipment,2017/1/1,https://my.pitchbook.com/profile/181410-04/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Mode,COMPANY,,"San Mateo, CA",Database Software,2014/6/1,https://my.pitchbook.com/profile/112959-28/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Mode,COMPANY,,"San Mateo, CA",Database Software,2014/6/1,https://my.pitchbook.com/profile/112959-28/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Vium,COMPANY,,"San Mateo, CA",Discovery Tools (Healthcare),2013/4/1,https://my.pitchbook.com/profile/99396-19/company/profile,BioAge,COMPANY,,"Richmond, CA",Drug Discovery,,https://my.pitchbook.com/profile/163867-24/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,TRACteam,COMPANY,,"Park City, UT",Business/Productivity Software,2015/1/1,https://my.pitchbook.com/profile/155734-03/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,HERO Sports (Social Content),COMPANY,,"Bellevue, WA",Social Content,2012/1/1,https://my.pitchbook.com/profile/153560-08/company/profile,Alliance of Angels,INVESTOR,,"Seattle, WA",,,https://my.pitchbook.com/profile/50987-80/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Brandzooka,COMPANY,,"Boulder, CO",Business/Productivity Software,2015/2/1,https://my.pitchbook.com/profile/112958-83/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Exaptive,COMPANY,,"Oklahoma City, OK",Business/Productivity Software,2011/7/11,https://my.pitchbook.com/profile/87694-30/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Blue Danube,COMPANY,,"Santa Clara, CA",Wireless Communications Equipment,2006/1/1,https://my.pitchbook.com/profile/57939-22/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Blue Line Protection Group,COMPANY,,"Denver, CO",Security Services (B2B),2018/1/1,https://my.pitchbook.com/profile/51320-08/company/profile,Hypur,COMPANY,,"Scottsdale, AZ",Financial Software,2014/1/1,https://my.pitchbook.com/profile/112987-63/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Alievio,COMPANY,,"Durham, NC",Therapeutic Devices,2010/10/1,https://my.pitchbook.com/profile/84673-45/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Alievio,COMPANY,,"Durham, NC",Therapeutic Devices,2010/10/1,https://my.pitchbook.com/profile/84673-45/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
